Resistivity (ohm.m),Chargeability (msec)
363.04,1.72
452.89,1.88
492.01,1.94
580.12,1.69
327.58,1.79
279.95,1.66
272.92,1.61
208.8,1.49
267.17,1.42
216.69,1.25
306.39,1.31
266.45,1.37
506.82,1.95
391,1.89
330.55,1.87
314.78,1.79
297.16,1.66
329.18,1.55
269.45,1.41
234.65,1.24
229.33,1.2
221.77,1.3
193.1,1.53
196.65,1.65
191.86,1.79
206.8,1.71
189.68,1.78
189.08,1.81
224.46,1.94
139.4,2.2
164.17,2.16
309.42,2.11
371.05,1.96
428.97,1.84
411.33,1.74
385.66,1.65
454.03,1.63
458.16,1.71
367.36,1.75
504.51,1.9
286.91,1.97
359.06,1.79
428.18,1.83
387.54,1.72
317.2,1.64
254.82,1.53
267.85,1.42
226.83,1.29
288.86,1.33
247.7,1.39
524.48,2
524.48,2
524.48,2
335.11,1.94
315.52,1.87
330.19,1.73
384.24,1.6
352.72,1.46
301.7,1.31
271.6,1.28
233.15,1.39
197.45,1.64
178.45,1.82
167.18,1.95
183.86,1.87
164.53,1.86
177.1,1.87
266.82,1.96
80.63,2.27
89.83,2.32
283.46,2.22
297.57,2.16
400.55,1.98
424.5,1.82
383.09,1.7
408.12,1.68
445.98,1.76
393.36,1.84
440.39,2
137.02,2.1
228.48,2
469.37,1.97
444.38,1.87
341.66,1.76
277.11,1.63
264.06,1.48
247.97,1.39
262.33,1.41
262.33,1.41
262.33,1.41
355.04,2.02
355.04,2.02
355.04,2.02
299.05,1.85
368.19,1.7
391.14,1.57
363.74,1.45
313.99,1.43
259.71,1.56
209.16,1.82
179.42,2.04
168.85,2.14
175.17,2.03
163.86,1.93
191.96,1.88
276.71,1.93
64.41,2.25
73.03,2.33
209.93,2.22
161.39,2.27
205.57,2.09
265.98,1.89
292.34,1.76
322.62,1.74
349.6,1.83
311.05,1.97
258.77,2.15
68.36,2.23
147.39,2.21
365.49,2.17
387.78,2.07
327.86,1.94
282.81,1.77
271.86,1.55
271.86,1.55
271.86,1.55
234.38,2.05
234.38,2.05
234.38,2.05
260.55,1.89
293.81,1.8
308.57,1.72
289.36,1.72
253.18,1.85
212.04,2.07
187.21,2.26
180.21,2.29
180.54,2.14
179.78,1.96
195.13,1.84
187.47,1.86
61.79,2.08
79.45,2.11
157.95,2.04
91.41,2.12
66.49,2.06
74.23,1.92
96.7,1.83
128.96,1.84
159.83,1.97
160.71,2.16
116.13,2.32
49.91,2.36
99.37,2.4
203.93,2.39
274.18,2.29
289.06,2.17
315.25,2
315.25,2
315.25,2
187.47,2.05
187.47,2.05
187.47,2.05
206.4,1.98
206.98,1.99
198.71,2.09
184.83,2.22
176.14,2.33
177.63,2.31
182,2.15
179.41,1.95
161.37,1.83
117.53,1.82
64.67,1.92
98.41,1.9
177.46,1.84
119.6,1.89
66.89,1.92
52.88,1.88
57.69,1.86
73.75,1.91
95.48,2.06
106.15,2.24
86.87,2.37
66,1.39
102.26,2.45
159.73,2.45
271.03,2.34
271.03,2.34
271.03,2.34
144.81,2.19
144.81,2.19
144.81,2.19
148.6,2.24
150.17,2.3
157.67,2.33
168.04,2.28
174.72,2.13
161.44,1.96
122.74,1.85
81.93,1.82
66.1,1.82
114.11,1.77
216.96,1.7
204.59,1.72
131.72,1.76
94.28,1.8
87.13,1.84
97.7,1.93
116.94,2.06
129.03,2.2
121.74,2.31
122.54,2.35
176.64,2.44
176.64,2.44
176.64,2.44
123.51,2.34
123.51,2.34
123.51,2.34
146.72,2.3
160.22,2.25
162.54,2.15
138.51,2.01
93.48,1.9
61.95,1.85
60.65,1.8
113.17,1.71
237.36,1.62
309.91,1.61
268.19,1.65
221.23,1.71
215.9,1.8
252.03,1.91
278.48,2
285.02,2.1
248.57,2.25
248.57,2.25
248.57,2.25
157.67,2.27
157.67,2.27
157.67,2.27
118.99,2.06
71.39,1.95
43.72,1.9
43.86,1.83
93.26,1.7
235.56,1.58
402.02,1.53
