Actual IP (msec),Predicted IP (msec)
1.84,3.41
2.02,3.71
2.04,1.25
2.24,1.59
1.93,1.74
4.45,6.81
2.32,3.98
1.95,0.81
2.16,1.71
2.07,3.98
3.12,6.88
1.42,4.44
2.53,4.25
2.81,3.10
2.14,5.96
3.41,7.86
1.09,4.23
1.41,2.72
3.58,6.83
2.45,1.12
2.33,1.68
2.18,1.73
1.79,2.02
3.68,4.43
1.55,3.39
2.12,6.93
16.06,21.14
7.89,13.73
2.79,5.73
3.45,9.62
4.25,5.89
2.45,7.25
1.95,1.21
26.24,29.92
2.14,1.79
1.4,4.74
2.17,2.99
2.06,0.76
1.54,3.37
1.65,2.04
1.7,3.93
1.31,3.16
5.98,8.30
1.76,1.42
1.72,2.94
2.3,1.57
1.99,6.97
0.88,3.10
1.9,0.54
2.32,3.98
1.74,4.21
1.97,1.70
2.14,5.96
2.45,6.77
1.72,3.73
2.58,6.73
1.97,2.97
1.03,2.90
5.43,8.61
1.71,3.14
1.4,4.74
0.48,1.38
9.91,13.11
1.76,2.33
1.41,2.58
0.79,1.49
1.85,1.33
8.31,10.69
1.94,3.45
2.13,6.89
4.86,6.46
3.32,4.41
2.15,2.84
1.66,2.90
2.22,2.93
1.64,2.07
4.38,4.54
6.3,7.04
2.29,2.84
1.82,0.76
5.3,6.84
1.84,3.41
2.94,6.60
1.39,2.43
2.89,5.06
1.57,4.66
5.93,10.14
1.42,2.77
1.71,3.14
2.24,1.16
1.18,1.99
1.46,3.63
1.79,3.69
5.71,10.52
2.25,1.20
0.78,1.12
1.82,2.19
2.88,5.94
0.46,1.96
1.82,0.92
1.31,3.16
1.01,2.98
1.91,0.84
2.59,4.97
1.92,0.77
1.68,3.57
2.09,2.09
1.69,5.90
1.4,2.30
3.7,4.80
2.17,1.73
3.01,8.76
2.2,1.39
15.1,20.84
3.77,2.99
1.94,5.02
3.09,6.16
1.91,5.50
2.37,0.97
2.17,3.75
2.88,4.84
2.13,1.85
1.91,3.92
4.33,7.03
3.3,4.11
2.5,4.86
0.65,1.44
5.42,5.94
18.68,26.58
1.86,0.68
1.55,2.82
1.71,2.17
1.53,6.22
1.86,1.54
1.39,0.76
2.27,1.68
1.19,1.80
1.87,4.54
6.03,8.20
1.63,3.42
10.48,14.09
1.69,5.90
6.63,12.36
1.58,2.46
1.84,3.56
2,3.35
0.78,1.12
17.7,24.07
4.38,4.54
1.8,1.04
1.01,2.98
3.54,4.86
2,5.34
3.6,3.28
2.28,0.40
0.69,2.48
1.14,1.20
2.15,4.11
15.36,20.84
2.34,1.34
2.62,1.14
1.87,1.87
1.53,2.22
0.79,1.49
4.09,7.01
6.81,8.05
16.64,26.62
2.13,6.89
2.02,3.65
1.21,0.95
2,4.50
1.31,2.88
2.15,2.69
0.33,2.18
1.48,2.74
2.08,0.72
1.2,4.40
1.94,2.03
1.79,3.25
1.72,3.73
0.78,1.46
2,5.34
