X,Y,Resistivity,Chargeability
162.5,-9.935,272.14,2.48
167.5,-9.935,185.75,2.82
172.5,-9.935,281.04,2.85
177.5,-9.935,163.1,2.17
185,-9.935,163.1,2.17
192.5,-9.935,163.1,2.17
7.5,-13.45,289.17,3.77
17.5,-13.45,289.17,3.77
27.5,-13.45,289.17,3.77
32.5,-13.45,488.1,4.02
37.5,-13.45,496.82,4.07
42.5,-13.45,431.36,3.32
47.5,-13.45,367.97,2.19
52.5,-13.45,381.13,1.67
57.5,-13.45,474.36,2.02
62.5,-13.45,715.47,2.45
72.5,-13.45,860.27,2.92
77.5,-13.45,850.44,3.32
87.5,-13.45,2593.55,19.57
92.5,-13.45,1066.3,4.75
97.5,-13.45,801.05,5.64
102.5,-13.45,498.12,3.43
112.5,-13.45,251.5,3.41
117.5,-13.45,130.01,2.45
122.5,-13.45,211.87,2.74
127.5,-13.45,1062.3,5.74
147.5,-13.45,135.98,0.78
152.5,-13.45,169.91,1.19
172.5,-13.45,90.98,2.24
182.5,-13.45,90.98,2.24
192.5,-13.45,90.98,2.24
7.5,-17.3,270.81,2.39
22.5,-17.3,270.81,2.39
37.5,-17.3,270.81,2.39
42.5,-17.3,381.7,1.86
47.5,-17.3,434.01,1.42
52.5,-17.3,572.71,2.25
57.5,-17.3,775.56,3.41
62.5,-17.3,1045.4,4.71
72.5,-17.3,941.34,3.4
77.5,-17.3,796.2,3.22
82.5,-17.3,757.29,4.17
87.5,-17.3,686.61,4.86
92.5,-17.3,543.59,4.33
97.5,-17.3,356.54,2.65
112.5,-17.3,114.66,2.04
117.5,-17.3,110.08,1.14
122.5,-17.3,283.49,2.66
127.5,-17.3,1054,7.56
132.5,-17.3,423.88,3.48
137.5,-17.3,83.6,1.71
147.5,-17.3,40.43,1.19
152.5,-17.3,41.86,1.19
157.5,-17.3,41.56,1.19
162.5,-17.3,45.97,1.9
177.5,-17.3,45.97,1.9
192.5,-17.3,45.97,1.9
7.5,-21.5,429.52,1.2
