Resistivity (ohm.m),Chargeability (msec),IP_bin
166.86,2.19,5
168.04,2.28,6
178.45,1.82,3
159.73,2.45,6
389.73,2.53,6
316.44,2.38,6
288.86,1.33,0
196.65,1.65,2
941.34,3.4,7
100.77,1.95,4
390.14,2.14,5
329.54,4.0,8
228.48,2.0,4
318.28,3.6,8
266.45,1.37,1
623.83,2.82,7
287.23,2.88,7
507.32,4.08,8
309.42,2.11,5
851.2,5.43,8
650.32,2.94,7
270.81,2.39,6
672.81,3.58,8
458.16,1.71,2
177.63,2.31,6
203.93,2.39,6
340.01,1.84,3
693.94,6.3,9
1059.0,7.31,9
1335.46,8.45,9
363.04,1.72,2
326.2,1.93,4
640.34,6.13,9
109.5,2.25,5
277.11,1.63,2
150.17,2.3,6
634.93,3.35,7
420.62,4.01,8
2396.7,17.7,9
87.13,1.84,3
324.79,2.0,4
562.62,2.79,7
618.51,1.38,1
321.68,2.79,7
548.05,2.27,6
1003.8,5.93,9
332.0,3.69,8
83.6,1.71,2
2997.44,18.35,9
640.34,6.13,9
822.37,2.68,7
678.1,3.12,7
811.7,6.33,9
955.27,4.94,8
428.18,1.83,3
1059.0,8.31,9
121.74,2.31,6
49.91,2.36,6
651.71,2.21,5
360.35,3.53,8
1304.0,7.05,9
438.49,1.7,2
438.49,1.7,2
248.48,1.41,1
226.83,1.29,0
389.73,2.53,6
368.19,1.7,2
45.97,1.9,3
278.48,2.0,4
380.92,1.24,0
247.7,1.39,1
679.26,2.13,5
866.48,3.01,7
785.28,2.95,7
444.07,4.38,8
41.56,1.19,0
282.81,1.77,3
318.52,1.38,1
222.79,1.76,2
740.61,4.17,8
693.94,6.3,9
316.44,2.38,6
144.81,2.19,5
41.86,1.19,0
466.01,1.69,2
330.92,1.84,3
361.27,2.02,4
114.66,2.04,4
148.6,2.24,5
163.86,1.93,4
670.56,4.45,8
387.89,2.32,6
71.39,1.95,4
160.71,2.16,5
387.78,2.07,5
678.1,3.12,7
434.01,1.42,1
415.01,2.53,6
300.07,2.81,7
586.25,2.14,5
775.56,3.41,7
413.04,1.09,0
262.33,1.41,1
672.81,3.58,8
102.26,2.45,6
157.67,2.33,6
163.05,2.18,5
191.86,1.79,3
432.7,3.68,8
329.18,1.55,1
682.59,2.12,5
2104.18,16.06,9
1362.6,7.89,9
562.62,2.79,7
952.26,3.45,7
578.86,4.25,8
715.47,2.45,6
110.9,1.95,4
2982.3,26.24,9
168.85,2.14,5
464.23,1.4,1
289.06,2.17,5
66.49,2.06,5
327.41,1.54,1
194.07,1.65,2
383.09,1.7,2
306.39,1.31,0
820.43,5.98,9
131.72,1.76,2
283.67,1.72,2
146.72,2.3,6
686.96,1.99,4
299.73,0.88,0
43.72,1.9,3
387.89,2.32,6
411.33,1.74,2
159.83,1.97,4
586.25,2.14,5
667.46,2.45,6
363.04,1.72,2
662.59,2.58,6
286.91,1.97,4
279.73,1.03,0
851.2,5.43,8
304.47,1.71,2
464.23,1.4,1
127.64,0.48,0
1300.5,9.91,9
222.79,1.76,2
248.48,1.41,1
138.71,0.79,0
122.74,1.85,3
1059.0,8.31,9
335.11,1.94,4
679.26,2.13,5
636.31,4.86,8
431.36,3.32,7
273.87,2.15,5
279.95,1.66,2
283.46,2.22,5
197.45,1.64,2
444.07,4.38,8
693.94,6.3,9
274.18,2.29,6
66.1,1.82,3
673.62,5.3,8
330.92,1.84,3
650.32,2.94,7
233.15,1.39,1
495.75,2.89,7
456.2,1.57,1
1003.8,5.93,9
267.17,1.42,1
304.47,1.71,2
106.15,2.24,5
188.56,1.18,0
352.72,1.46,1
359.06,1.79,3
1042.0,5.71,8
109.5,2.25,5
101.99,0.78,0
209.16,1.82,3
583.82,2.88,7
186.46,0.46,0
81.93,1.82,3
306.39,1.31,0
288.27,1.01,0
73.75,1.91,4
487.13,2.59,6
66.89,1.92,4
346.91,1.68,2
198.71,2.09,5
580.12,1.69,2
220.01,1.4,1
469.73,3.7,8
163.1,2.17,5
866.48,3.01,7
129.03,2.2,5
2074.3,15.1,9
289.17,3.77,8
492.01,1.94,4
606.31,3.09,7
540.16,1.91,4
86.87,2.37,6
365.49,2.17,5
474.02,2.88,7
174.72,2.13,5
382.27,1.91,4
692.81,4.33,8
400.77,3.3,7
475.72,2.5,6
133.78,0.65,0
583.78,5.42,8
2647.84,18.68,9
57.69,1.86,3
271.86,1.55,1
206.8,1.71,2
612.38,1.53,1
144.31,1.86,3
66.0,1.39,1
157.67,2.27,6
169.91,1.19,0
444.38,1.87,3
809.67,6.03,9
332.36,1.63,2
1399.34,10.48,9
580.12,1.69,2
1225.7,6.63,9
235.56,1.58,1
345.56,1.84,3
324.79,2.0,4
101.99,0.78,0
2396.7,17.7,9
444.07,4.38,8
94.28,1.8,3
288.27,1.01,0
475.86,3.54,8
524.48,2.0,4
318.28,3.6,8
30.43,2.28,6
238.0,0.69,0
110.08,1.14,0
400.6,2.15,5
2074.3,15.36,9
123.51,2.34,6
103.93,2.62,6
177.1,1.87,3
211.76,1.53,1
138.71,0.79,0
691.25,4.09,8
794.5,6.81,9
2652.3999,16.64,9
679.26,2.13,5
355.04,2.02,4
84.58,1.21,0
440.39,2.0,4
278.32,1.31,0
258.77,2.15,5
208.06,0.33,0
264.06,1.48,1
61.79,2.08,5
429.52,1.2,0
193.42,1.94,4
314.78,1.79,3
363.04,1.72,2
135.98,0.78,0
524.48,2.0,4
